53500051456 tokens | train_loss=3.9966 | val_loss=3.6100
54000025600 tokens | train_loss=3.1121 | val_loss=3.5842
54500065280 tokens | train_loss=3.0734 | val_loss=3.5678
55000039424 tokens | train_loss=3.3811 | val_loss=3.4973
55500013568 tokens | train_loss=2.9608 | val_loss=3.5544
56000053248 tokens | train_loss=2.8972 | val_loss=3.5668
56500027392 tokens | train_loss=3.5951 | val_loss=3.4710
57000001536 tokens | train_loss=3.4651 | val_loss=3.4921
57500041216 tokens | train_loss=3.0788 | val_loss=3.5471
58000015360 tokens | train_loss=3.1783 | val_loss=3.5534
58500055040 tokens | train_loss=3.5695 | val_loss=3.4821
59000029184 tokens | train_loss=3.4495 | val_loss=3.4893
59500003328 tokens | train_loss=2.9176 | val_loss=3.5436
60000043008 tokens | train_loss=3.1254 | val_loss=3.5565
60500017152 tokens | train_loss=3.4038 | val_loss=3.4683
61000056832 tokens | train_loss=2.9840 | val_loss=3.5627
61500030976 tokens | train_loss=2.9026 | val_loss=3.5513
62000005120 tokens | train_loss=2.9940 | val_loss=3.5430
62500044800 tokens | train_loss=3.3472 | val_loss=3.4689
63000018944 tokens | train_loss=2.9314 | val_loss=3.5551
63500058624 tokens | train_loss=3.0323 | val_loss=3.5631
64000032768 tokens | train_loss=2.9462 | val_loss=3.5421
64500006912 tokens | train_loss=3.1221 | val_loss=3.5347
65000046592 tokens | train_loss=2.9621 | val_loss=3.5244
65500020736 tokens | train_loss=3.1494 | val_loss=3.5368
66000060416 tokens | train_loss=2.8474 | val_loss=3.7650
66500034560 tokens | train_loss=3.2955 | val_loss=3.4632
67000008704 tokens | train_loss=3.0242 | val_loss=3.5475
67500048384 tokens | train_loss=2.9972 | val_loss=3.5182
68000022528 tokens | train_loss=3.8141 | val_loss=3.0501
68500062208 tokens | train_loss=2.9848 | val_loss=3.1430
69000036352 tokens | train_loss=3.0726 | val_loss=3.3911
69500010496 tokens | train_loss=2.9935 | val_loss=3.2773
70000050176 tokens | train_loss=3.4299 | val_loss=3.2245
70500024320 tokens | train_loss=3.3784 | val_loss=3.2199
71000064000 tokens | train_loss=2.8627 | val_loss=3.2372
71500038144 tokens | train_loss=2.9257 | val_loss=3.2646
72000012288 tokens | train_loss=3.2955 | val_loss=3.0932
72500051968 tokens | train_loss=2.9620 | val_loss=3.1691
73000026112 tokens | train_loss=3.4827 | val_loss=3.2376
73500000256 tokens | train_loss=2.9735 | val_loss=3.2069
74000039936 tokens | train_loss=3.3640 | val_loss=3.0382
74500014080 tokens | train_loss=2.9211 | val_loss=3.2278
75000053760 tokens | train_loss=2.9057 | val_loss=3.2450
75500027904 tokens | train_loss=3.0581 | val_loss=2.6302
76000002048 tokens | train_loss=3.4790 | val_loss=2.3449
76500041728 tokens | train_loss=3.0139 | val_loss=2.4316
77000015872 tokens | train_loss=2.9654 | val_loss=2.6809
77500055552 tokens | train_loss=3.0828 | val_loss=2.3058
78000029696 tokens | train_loss=2.8986 | val_loss=2.4165
78500003840 tokens | train_loss=2.9950 | val_loss=2.5563
79000043520 tokens | train_loss=2.8753 | val_loss=2.5255
79500017664 tokens | train_loss=3.2520 | val_loss=2.5476
80000057344 tokens | train_loss=2.8325 | val_loss=2.5730
80500031488 tokens | train_loss=2.8652 | val_loss=2.5469
81000005632 tokens | train_loss=2.8527 | val_loss=2.7643
81500045312 tokens | train_loss=3.0460 | val_loss=2.4690
82000019456 tokens | train_loss=2.9073 | val_loss=2.4920
82500059136 tokens | train_loss=2.9137 | val_loss=2.5821
83000033280 tokens | train_loss=2.9652 | val_loss=3.1147
83500007424 tokens | train_loss=3.2239 | val_loss=2.4978
84000047104 tokens | train_loss=2.8281 | val_loss=2.4970
84500021248 tokens | train_loss=2.8072 | val_loss=2.6028
85000060928 tokens | train_loss=2.8088 | val_loss=2.7766
85500035072 tokens | train_loss=2.9868 | val_loss=2.5871
86000009216 tokens | train_loss=2.9470 | val_loss=2.5254
86500048896 tokens | train_loss=2.9056 | val_loss=2.4554
87000023040 tokens | train_loss=2.8116 | val_loss=2.4618
87500062720 tokens | train_loss=3.0903 | val_loss=2.3552
88000036864 tokens | train_loss=2.8213 | val_loss=2.6973
88500011008 tokens | train_loss=3.0721 | val_loss=2.6624
89000050688 tokens | train_loss=3.2748 | val_loss=2.2598
89500024832 tokens | train_loss=2.8051 | val_loss=2.3251
90000064512 tokens | train_loss=2.6535 | val_loss=2.5134
90500038656 tokens | train_loss=2.7614 | val_loss=2.4712
91000012800 tokens | train_loss=2.7407 | val_loss=1.9254
91500052480 tokens | train_loss=2.1001 | val_loss=1.7160
92000026624 tokens | train_loss=1.0164 | val_loss=1.0547
92500000768 tokens | train_loss=3.1896 | val_loss=2.0587
93000040448 tokens | train_loss=1.8977 | val_loss=1.3229
93500014592 tokens | train_loss=1.5447 | val_loss=1.4038
94000054272 tokens | train_loss=2.5481 | val_loss=1.9415
94500028416 tokens | train_loss=1.7915 | val_loss=1.2771
95000002560 tokens | train_loss=0.4474 | val_loss=1.8066
95500042240 tokens | train_loss=2.7950 | val_loss=1.5287
96000016384 tokens | train_loss=1.6204 | val_loss=1.4706
96500056064 tokens | train_loss=1.1263 | val_loss=1.3449
97000030208 tokens | train_loss=2.6139 | val_loss=1.5789
97500004352 tokens | train_loss=1.9438 | val_loss=1.5344
98000044032 tokens | train_loss=0.9414 | val_loss=1.4045
98500018176 tokens | train_loss=3.2318 | val_loss=1.6321
99000057856 tokens | train_loss=3.1962 | val_loss=2.0135
99500032000 tokens | train_loss=1.7871 | val_loss=1.5269
100000006144 tokens | train_loss=1.3257 | val_loss=1.3628
